project_id,similar_project_id,state,work_category,similarity_score,potential_duplicate_flag
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137053,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137054,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137055,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137052,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137054,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137055,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137053,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137055,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137054,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137055,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137073,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137074,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137075,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137076,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137077,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137078,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137079,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137080,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137081,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137082,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137083,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137084,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137085,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137086,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137087,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137088,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137089,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137090,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137091,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137092,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137093,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137094,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137056,WS/MP18007/2025-2026/137095,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137071,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137057,WS/MP18007/2025-2026/137072,Andhra Pradesh,Normal/Others,1.0,1
